thread,ops,ds,test
40,1990351,NoPersistMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,2483017,NoPersistMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1475039,txMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1913987,txMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,2452516,txMontageFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1179756,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1688934,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,2628129,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1182881,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1689441,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,2624866,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,1680476,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g50p0i25rm25:range=1000000:prefill=500000
40,2632808,NoPersistNVMFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:None>:txn10:g90p0i5rm5:range=1000000:prefill=500000
